Дата_поставки_начало,Дата_поставки_конец,Поставщик,ТРУ,Цена_с_НДС,Кол_во_1,Кол_во_2,Кол_во_3,Сумма_Реализации,Продавец_1,Цена_1,Цена_2,Цена_3,Цена_4,Цена,Кол_во,Стоимость_у_поставщика
2024-02-26 00:00:00,2024-03-15 00:00:00,"ТОО""MediTest» (МедиТест)""", Присадка депрессорно-диспергирующая марки TOTAL CP7803,3780.0,120600,120.6,,455868000,"ТОО""Казахстанский Институт Содействия Промышленности""",3286942.4,,,,3286942.4,120600.0,3780.0
2023-10-26 00:00:00,2023-10-26 00:00:00,"ТОО""MediTest» (МедиТест)""",Ингибитор коррозии и отложений марки хеламин 906H,8848.0,17220,34440,,152362560,"ООО ""РВА""",6541.741728803716,,,,6541.741728803716,17220.0,8848.0
2023-09-06 00:00:00,2023-11-22 00:00:00,"ТОО""MediTest» (МедиТест)""","ПЕРХЛОРЭТИЛЕН / ТЕТРАХЛОРЭТИЛЕН (PERCHLOROETHYLENE CATALYST GRADE, INOVYN) / PERCHLOROETHYLENE / TETRACHLOROETHYLENE (PERCHLOROETHYLENE CATALYST GRADE, INOVYN)",2790.032,40920,19800,,114168109.44,"""GROSSMANN GMBH""",1389.1991611111112,,,,1389.1991611111112,40920.0,2790.032
2023-09-06 00:00:00,2023-11-22 00:00:00,"ТОО""MediTest» (МедиТест)""","ПЕРХЛОРЭТИЛЕН / ТЕТРАХЛОРЭТИЛЕН (PERCHLOROETHYLENE CATALYST GRADE, INOVYN) / PERCHLOROETHYLENE / TETRACHLOROETHYLENE (PERCHLOROETHYLENE CATALYST GRADE, INOVYN)",2790.032,40920,21120,,114168109.44,"""ESTIMEX DOO""",1350.7746515151516,,,,1350.7746515151516,40920.0,2790.032
2023-10-20 00:00:00,2023-10-20 00:00:00,"ТОО""MediTest» (МедиТест)""",  Ингибитор отложений норамер (ACUMER)  2200,6384.0,13000,13000,,82992000,"""GROSSMANN GMBH""",2883.4142423076923,,,,2883.4142423076923,13000.0,6384.0
2023-10-30 00:00:00,2023-10-30 00:00:00,"ТОО""MediTest» (МедиТест)""",Коагулянт KLARAID CDP 1344,3808.0,16800,16800,,63974400,"""GROSSMANN GMBH""",1620.3462773809524,,,,1620.3462773809524,16800.0,3808.0
2023-12-11 00:00:00,2024-11-21 00:00:00,"ТОО""MediTest» (МедиТест)""", Ингибитор коррозии и отложений марки хеламин 9012H,9480.8,5040,1050,,47783232,ООО Хеламин Проект,6589.209314285715,,,,6589.209314285715,5040.0,9480.8
2023-12-11 00:00:00,2024-11-21 00:00:00,"ТОО""MediTest» (МедиТест)""", Ингибитор коррозии и отложений марки хеламин 9012H,9480.8,5040,3990,,47783232,"ООО ""РВА""",6037.822962406015,,,,6037.822962406015,5040.0,9480.8
2023-10-02 00:00:00,2023-10-02 00:00:00,"ТОО""MediTest» (МедиТест)""", Ингибитор коррозии и отложений марки хеламин 906H,8848.0,5040,5040,,44593920,"ООО ""РВА""",6383.766666666666,,,,6383.766666666666,5040.0,8848.0
2024-01-03 00:00:00,2024-01-03 00:00:00,"ТОО""MediTest» (МедиТест)""", Флокулянт анионный PUROFLOCK 1011,4704.0,4300,4300,,20227200,ООО КРОНВЕРК,4165.392000000001,,,,4165.392000000001,4300.0,4704.0
2023-10-26 00:00:00,2023-10-26 00:00:00,"ТОО""MediTest» (МедиТест)""","  ПЕРХЛОРЭТИЛЕН / ТЕТРАХЛОРЭТИЛЕН (PERCHLOROETHYLENE CATALYST GRADE, INOVYN) / PERCHLOROETHYLENE / TETRACHLOROETHYLENE (PERCHLOROETHYLENE CATALYST GRADE, INOVYN)",2790.032,990,990,,2762131.68,ООО А-Центр,2270.0929292929295,,,,2270.0929292929295,990.0,2790.032
Общий Итог,,,,,,,,984731553.12,,,,,,,,
2023-10-27 00:00:00,2023-12-21 00:00:00,"ТОО""Элит Промстрой Групп""",ПРИСАДКА N-МЕТИЛАНИН,2430.4,262020,262020,,636813408,"Товарищество с ограниченной ответственностью ""Новый Стиль Логистик""",2016,,,,2016.0,262020.0,2430.4
2023-11-30 00:00:00,2023-12-04 00:00:00,"ТОО""Элит Промстрой Групп""",Монометиланилин технический марки А,2430.4,129400,129400,,314493760,"Товарищество с ограниченной ответственностью ""Новый Стиль Логистик""",2016,,,,2016.0,129400.0,2430.4
Общий Итог,,,,,,,,951307168,,,,,,,,
2023-09-09 00:00:00,2024-03-02 00:00:00,"ТОО""Аст-Юг Холдинг""",Натр едкий технический ГОСТ 2263-71,324240.00000000006,1890.8449999999993,,,613087582.8,,,,,,,1890.8449999999993,324240.00000000006
2024-07-03 00:00:00,2024-09-04 00:00:00,"ТОО""Аст-Юг Холдинг""",Натр едкий технический ГОСТ 2263-71,320880.0,1010.9,,,324377592,,,,,,,1010.9,320880.0
Общий Итог,,,,,,,,937465174.8,,,,,,,,
